Locality,Species,Area
John's Bog (Blue Ridge),10,0.0081
Henderson Bog,12,0.101
UT Arboretum,16,1.01
"Sweet's Farm, Highland Co. VA",13,1.57
Cantonment Area WV,17,3.78
Briery Mountain WV,14,4.23
Pringle Tract WV,11,8.54
Harper's Ferry NHP WV,16,9.65
New River SP NC,18,13.45
Elk Knob SP NC,17,17.9
Gorges SP NC ,23,31.2
Radford Ammunition Plant,19,32.7
Gauley River NRA WV,26,46.57
New River Gorge NP WV,30,294.64
Unicoi Co. TN,27,481.7
Whitfield Co. GA,20,753.69
Shenandoah Valley NP VA,25,799
Watauga Co. NC,30,809.63
Anderson County TN,30,893.6
Murray Co. GA,26,898.73
Fannin Co. GA,19,1015.28
Polk Co. TN,38,1144.8
Hamilton Co. TN,32,1491.8
Sevier Co. TN,39,1548.8
Buncombe Co. NC,36,1709.4
Great Smokies NP,45,2114
